10002,,2.73
10080,,3.24
10134,,2.5
15030,,4.48
15036,,0.91
16010,,1.1
16015,,0.34
16033,,4.14
16043,,3.1
16045,,1.99
16046,,2.96
16049,,3.36
16052,,1.28
16053,,3.75
16254,,3.58
16259,,4.66
17096,,1.6
18007,,0.94
20658,,4.73
20664,,4.1
20665,,4.72
20666,,2.94
20669,,4.36
20671,,3.04
20681,,0.97
20684,,0.78
20686,,3.66
20689,,2.33
20699,,2.28
20701,,3.84
20702,,3.52
20713,,2.88
20716,,4.06
20731,,0.35
20734,,2.34
20735,,1.3
20738,,3.97
20748,,4.08
20752,,4.95
20756,,4.01
20758,,2.65
20759,,1.92
20760,,3.33
20773,,0.86
20774,,3.79
20775,,0.98
20778,,4.32
20785,,3.37
20793,,4.05
20798,,2.84
20801,,3.93
20816,,4.68
20820,,3.88
20821,,4.05
20823,,1.75
20825,,4.72
20826,,2.47
20849,,0.72
20850,,1.28
20851,,1.76
20854,,1.2
20857,,2.77
20860,,4.9
20863,,3.74
20864,,3.33
20878,,2.68
20886,,1.03
20892,,4.81
20896,,3.44
20903,,4.67
20906,,2.96
20910,,4.63
20933,,3.57
20934,,0.43
20941,,2.28
20950,,2.88
20954,,4.34
20956,,3.76
20964,,1.9
20966,,4.3
20967,,2.79
20973,,4.87
20975,,2.69
20977,,3.76
20980,,1.59
20984,,1.34
20998,,0.28
21000,,3.09
21009,,2.76
21011,,1.81
21027,,1.14
21033,,4.38
21038,,2.62
21040,,0.32
21043,,0.46
21051,,1.58
21054,,2.29
21067,,2.7
21069,,0.31
21071,,3.41
21078,,2.55
21087,,0.12
21095,,0.21
21098,,4.24
21110,,1.57
21116,,2.16
21120,,0.07
21134,,3.61
21137,,0.2
21143,,1.73
21144,,2.27
21145,,0.96
21147,,0.46
21160,,2.54
21161,,2.94
21163,,0.59
21165,,1.71
21169,,4.5
21171,,2.1
21172,,2.5
21174,,0.44
21175,,4.67
21179,,2.7
21181,,1.66
21186,,0.9
21187,,2.01
21190,,2.46
21195,,2.48
21210,,0.42
21228,,4.34
21244,,2.44
21246,,1.23
21248,,3.96
21257,,0.94
21258,,2.76
21259,,4.17
21269,,0.26
21272,,1.16
21274,,2.64
21275,,3.25
21278,,2.19
21279,,2.86
21281,,4.16
21282,,1.08
21283,,3.51
21288,,3.88
21294,,2.92
21311,,3.11
21316,,1.92
21318,,4.11
21320,,4.75
21324,,1.86
21330,,3.35
21332,,3.5
21337,,2.62
21348,,4.63
21349,,0.25
21355,,1.79
21357,,4.84
21359,,4.8
21361,,0.7
21363,,2.1
21391,,0.3
21392,,0.72
21393,,4.26
21394,,3.81
21395,,4.88
21399,,1.3
21402,,3.73
21407,,0.33
21410,,3.69
21412,,1.55
21414,,3.75
21416,,3.42
21421,,2.17
21422,,3.7
21429,,4.38
21431,,4.22
21432,,3.94
21445,,4.01
21446,,4.3
21447,,4.62
21448,,4.41
21472,,3.15
21474,,2.63
21484,,4.2
21486,,0.08
21488,,4.64
21491,,0.63
21503,,2.83
21504,,4.64
21511,,2.46
21518,,0.58
21527,,1.7
21535,,4.98
21538,,0.71
21547,,4.39
21555,,3.68
21578,,0.84
21586,,2.06
21587,,0.26
21589,,1.4
21594,,0.5
21595,,4.19
21609,,3.69
21610,,2.43
21613,,0.86
21614,,4.81
21618,,2.68
21620,,2.01
21621,,2.77
21632,,4.48
21634,,0.53
21635,,0.8
21637,,4.89
21638,,0.61
21641,,0.93
21645,,1.92
21648,,2.08
21651,,2.77
21653,,3.65
21655,,1.19
21658,,4.21
21661,,0.15
21662,,1.55
21664,,3.49
21667,,0.32
21670,,3.39
21673,,4.4
21681,,4.22
21682,,0.38
21683,,3.7
21684,,0.6
21686,,4.01
21690,,1.98
21692,,4.44
21696,,0.43
21700,,3.34
21717,,0.67
21736,,3.77
21738,,0.74
21743,,3.12
21758,,3.28
21763,,1.68
21765,,4.39
21777,,1.67
21781,,0.31
21784,,2.15
21785,,2.87
21792,,4.85
21801,,1.73
21803,,4.77
21804,,4.27
21805,,2.01
21806,,4
21807,,1.92
21808,,2.6
21809,,0.74
21811,,3.96
21814,,0.16
21817,,3.45
21820,,4.7
21825,,0.53
21826,,3.81
21827,,2.83
21830,,3.47
21836,,2.18
21839,,4.03
